value,freq
518,2
5886,1
632,2
3007,1
238,6
2247,1
1600,5
6496,2
6266,1
205,3
1210,4
1053,3
1647,2
2385,1
2189,1
910,6
1599,1
3692,1
407,1
306,6
1332,4
3796,1
4170,1
3015,1
6330,1
391,2
1175,2
1904,5
2997,1
1308,2
4944,1
2162,1
6572,1
6720,2
6318,2
594,7
984,5
1246,2
1133,1
3984,2
2054,2
80,9
2190,3
1474,2
2310,7
2064,3
1424,2
4152,1
5365,1
5850,3
394,1
135,7
679,1
3576,1
6552,2
4518,1
716,1
4994,1
6325,1
4636,1
729,3
1975,1
2260,2
531,2
3836,1
3938,1
84,11
448,7
2820,4
260,7
528,9
1408,4
994,2
2628,2
1121,1
1746,2
5177,1
1281,2
1943,1
2492,2
2668,2
1017,1
3749,1
5208,4
4284,4
737,1
3800,3
4420,2
252,13
700,8
3363,1
5307,1
825,4
1253,1
1275,3
4844,1
2123,1
6024,1
2444,2
7560,1
4738,1
418,4
5819,1
4340,3
4237,1
4379,1
2685,1
3752,1
1661,1
1176,8
4774,2
6235,1
979,1
7080,1
1024,2
3718,2
4296,1
4242,1
2101,1
174,6
3473,1
4807,2
2050,2
6183,1
4023,1
456,8
2225,1
2312,1
496,5
6448,2
458,1
666,4
3243,1
4928,2
2682,1
945,6
1540,7
6148,1
1325,1
1666,3
4117,1
132,9
138,6
1311,2
3640,3
4402,1
14,5
3542,3
2561,1
3842,1
966,5
5368,1
1536,4
2176,2
288,10
149,2
1241,1
658,2
338,3
2139,2
412,2
5304,2
772,1
4664,1
2899,1
3392,1
192,10
4619,1
576,9
1313,1
110,7
606,2
476,6
163,2
522,5
4995,1
4116,2
2166,1
1002,1
6061,1
4775,1
5382,2
1501,1
236,4
3090,2
2516,1
2067,1
5656,1
5824,2
486,6
2024,4
3349,1
4431,1
2944,2
4617,2
6177,1
6216,1
1032,4
1168,2
5725,1
519,1
646,2
5174,1
5192,1
5229,1
1113,2
1617,3
2650,1
1561,1
478,1
393,1
2286,2
744,7
1886,1
6440,1
2331,1
4302,1
339,1
1610,4
1545,1
3068,2
1095,2
119,4
7068,1
3013,1
2480,4
5797,1
3798,1
5539,1
4553,1
327,1
2676,1
4660,1
2844,2
989,1
1568,5
300,11
3402,4
3728,1
3976,1
4708,1
5550,2
591,1
5301,1
4980,2
1880,3
3717,1
2700,7
6758,1
1441,1
748,4
1659,2
1911,2
175,5
169,3
376,3
3458,3
1145,1
101,2
1938,2
7378,1
1631,1
2151,1
1380,7
136,6
3990,3
792,9
1848,8
4784,2
3860,1
1312,2
4136,1
2702,1
2364,1
5425,2
3738,1
4154,1
4776,1
2527,1
565,1
3247,1
3145,1
5244,1
912,7
481,1
2486,2
1703,1
5198,1
1935,2
2230,1
3375,3
328,3
3799,1
1010,2
535,1
972,6
1054,2
2320,4
2728,3
1632,5
2542,1
4030,2
1651,1
2596,2
1612,3
2451,1
3003,2
2368,1
3152,1
2322,2
6169,1
4066,1
3776,1
4761,1
6636,1
726,4
2380,5
3197,1
6021,1
4063,1
5068,1
936,9
2068,2
446,1
1582,2
6692,1
2761,1
4016,1
210,12
628,1
4582,1
7347,1
4462,1
1230,5
4683,1
453,1
2013,1
1134,7
1376,2
3016,3
906,1
267,1
3406,1
4176,3
1081,1
390,9
4998,1
3116,1
2140,2
106,3
166,3
5520,3
1711,1
2116,1
1258,1
1215,4
1581,2
2108,2
1219,1
1989,3
3186,2
790,2
3384,2
3792,2
2449,1
395,1
1670,1
1730,1
4554,3
319,2
4620,5
2198,1
6045,1
1998,3
1236,2
4646,1
3196,1
1000,6
742,2
3936,2
5300,1
5232,1
4662,1
5496,1
506,4
1398,1
1589,1
602,2
314,1
1155,5
1107,2
1764,7
33,4
2277,3
4824,1
1148,3
89,2
1036,3
2170,3
3000,6
756,11
918,5
824,2
3151,1
102,6
1850,2
664,2
1946,1
1859,2
4867,1
3268,1
4704,3
1512,11
3780,7
374,4
1068,2
3129,1
4452,2
4300,2
4094,1
1773,1
336,12
4975,1
1135,1
3107,1
62,4
4674,1
6175,1
7000,1
1404,7
1660,2
4525,1
7056,1
2475,3
1183,2
1298,2
2884,2
2240,5
3751,1
2134,2
2541,2
170,6
3200,3
5146,1
3933,2
3059,2
5675,1
7192,2
5225,1
1479,2
424,3
5954,1
4085,1
3,3
2970,5
2678,2
904,2
410,3
4785,1
2499,2
162,8
1755,4
4872,4
796,1
1083,1
2600,4
2265,1
540,12
148,4
24,9
1560,9
1909,1
1089,2
6,5
3078,3
2224,1
4524,2
4450,1
2408,2
6156,1
592,3
2156,4
1751,1
5082,2
1384,1
3894,1
3940,1
6480,2
1008,12
5994,1
5239,1
581,1
4756,1
3429,1
4163,1
1092,8
4194,1
