value,freq
6210,2
559,1
1648,2
985,1
5600,2
2032,2
6420,1
144,12
6075,2
2759,1
2774,1
747,2
1414,2
2655,1
5256,1
2656,1
2870,1
3743,1
6096,1
346,1
527,2
618,2
3813,1
112,9
400,8
342,6
1577,1
350,6
4325,1
4053,1
5115,1
105,7
5572,1
2255,1
4326,1
1605,1
2556,2
2758,1
5356,1
6468,1
2263,1
841,1
1196,3
1638,7
3100,3
198,9
1937,1
1255,1
4070,1
3210,2
4956,2
2059,1
3021,1
4246,1
434,4
4623,1
3346,1
1448,1
5122,1
2352,6
4264,1
2581,1
6780,1
1615,2
3193,1
3249,1
3422,1
5290,1
111,3
1780,2
2684,2
1147,1
4255,1
2097,1
6372,1
438,3
2502,1
2006,1
3317,1
4356,2
1300,5
2532,1
3376,1
5694,1
345,4
688,3
3174,1
539,2
83,2
6660,1
5160,2
6345,1
1182,1
3859,1
5497,1
1357,1
4268,1
3404,1
530,2
3040,3
4906,1
5913,1
2261,2
4728,1
2829,1
3915,2
6370,1
685,1
2639,2
5858,1
2290,1
4108,1
4693,1
2314,2
420,14
3237,1
63,6
5975,1
846,3
1740,6
1887,1
759,3
160,9
1112,1
5921,1
3364,1
650,5
3864,4
1872,8
2890,1
1692,3
2825,1
5220,2
1716,5
4712,2
1790,1
5964,1
2916,3
2223,3
2540,2
648,9
1476,4
3534,2
2793,2
852,3
4480,2
5190,1
4512,1
3906,3
1592,1
2489,1
435,4
5352,1
5588,1
4389,2
6351,1
4988,1
2822,1
800,7
1792,4
2169,1
689,1
816,7
2983,1
5038,1
2323,1
113,2
1682,1
3975,1
1791,1
5967,1
2520,10
2736,5
1075,2
4850,1
5040,5
1156,1
5016,2
3604,1
4676,1
5083,1
5490,1
963,1
1905,1
4137,1
4746,1
508,2
7037,1
436,2
88,7
4324,1
891,3
1947,1
2041,1
1962,2
805,3
474,3
1271,1
2646,4
1793,1
1273,1
7250,1
6913,1
5271,1
450,10
1495,2
767,1
1775,1
752,3
1924,2
3213,3
1012,4
3348,3
3525,2
4779,1
1629,1
225,7
1432,1
4692,1
4732,2
6328,1
6608,1
1603,1
1406,1
2522,2
959,1
5760,2
5508,1
5324,1
2023,1
2768,1
2440,2
762,2
1136,2
2892,1
1254,4
570,7
4309,1
291,1
1908,3
2478,2
3276,6
254,3
3753,1
326,1
4401,1
4086,1
6810,1
460,6
1040,7
1122,4
1207,1
2864,1
4313,1
6820,1
53,2
1035,4
2730,6
1668,1
3042,3
894,1
76,5
1653,2
5175,2
6426,1
779,1
7105,1
4031,1
890,2
6873,1
1020,8
875,3
1812,1
168,13
4628,1
2035,1
2497,1
4563,1
294,6
1491,2
675,6
1239,2
589,2
